change_ms,time_ms,diff_ms
54722.0,54722.63,0.6299999999973807
54736.0,54736.599,0.5990000000019791
55349.0,55346.712,-2.2880000000004657
55366.0,55363.673,-2.326999999997497
55487.0,55486.395,-0.6050000000032014
55502.0,55501.361,-0.6390000000028522
55518.0,55516.327,-1.673000000002503
55534.0,55532.29,-1.7099999999991269
57008.0,57008.435,0.4349999999976717
57022.0,57022.404,0.4040000000022701
57195.0,57196.508,1.5080000000016298
57208.0,57209.478,1.478000000002794
57754.0,57756.735,2.735000000000582
57766.0,57768.707,2.7070000000021537
58297.0,58296.508,-0.4919999999983702
58312.0,58311.474,-0.5259999999980209
58930.0,58931.565,1.5650000000023283
59678.0,59678.367,0.3669999999983702
59692.0,59692.336,0.3360000000029686
59704.0,59706.304,2.3039999999964493
59716.0,59718.277,2.2770000000018626
60432.0,60432.653,0.6529999999984284
60446.0,60446.621,0.6209999999991851
60556.0,60556.372,0.3720000000030268
60570.0,60570.34,0.33999999999650754
60986.0,60984.399,-1.6010000000023865
61002.0,61000.363,-1.6370000000024447
61335.0,61334.603,-0.39699999999720603
61350.0,61349.569,-0.4309999999968568
62215.0,62212.608,-2.3919999999998254
62232.0,62229.569,-2.430999999996857
63263.0,63260.726,-2.2739999999976135
63280.0,63277.687,-2.313000000001921
64352.0,64352.245,0.24500000000261934
64366.0,64366.712,0.7119999999995343
64381.0,64380.68,-0.31999999999970896
64396.0,64395.646,-0.3539999999993597
65264.0,65266.667,2.6670000000012806
65276.0,65278.639,2.639000000002852
65649.0,65646.304,-2.6959999999962747
65666.0,65663.265,-2.735000000000582
66326.0,66328.753,2.752999999996973
66338.0,66340.726,2.7259999999951106
67886.0,67888.707,2.7069999999948777
67898.0,67900.68,2.679999999993015
68588.0,68590.612,2.6119999999937136
68600.0,68602.585,2.585000000006403
68982.0,68984.717,2.717000000004191
68994.0,68996.689,2.6889999999984866
69184.0,69184.263,0.2630000000062864
69198.0,69198.73,0.7299999999959255
69679.0,69680.635,1.6349999999947613
69692.0,69693.605,1.6049999999959255
70604.0,70606.531,2.5310000000026776
70616.0,70618.503,2.502999999996973
71624.0,71626.712,2.7119999999995343
71636.0,71638.685,2.6849999999976717
71734.0,71732.472,-1.5280000000057044
71750.0,71748.435,-1.5650000000023283
72050.0,72050.748,0.7480000000068685
72064.0,72064.717,0.717000000004191
72430.0,72430.385,0.3849999999947613
72444.0,72444.354,0.3540000000066357
72529.0,72530.658,1.657999999995809
